[[ 3.00000000e+00 -6.00000000e+00  4.00000000e+00  6.10000000e+01]
 [-1.20000000e+00  4.20000000e+00 -2.00000000e+00  2.30800000e+01]
 [-8.93333333e-01  3.42666667e+00 -1.53333333e+00  1.48912000e+01]
 [-6.48000000e-01  2.80800000e+00 -1.16000000e+00  9.65036800e+00]
 [-4.51733333e-01  2.31306667e+00 -8.61333333e-01  6.29623552e+00]
 [-2.94720000e-01  1.91712000e+00 -6.22400000e-01  4.14959073e+00]
 [-1.69109333e-01  1.60036267e+00 -4.31253333e-01  2.77573807e+00]
 [-6.86208000e-02  1.34695680e+00 -2.78336000e-01  1.89647236e+00]
 [ 1.17700267e-02  1.14423211e+00 -1.56002133e-01  1.33374231e+00]
 [ 7.60826880e-02  9.82052352e-01 -5.81350400e-02  9.73595080e-01]
 [ 1.27532817e-01  8.52308548e-01  2.01586347e-02  7.43100851e-01]
 [ 1.68692920e-01  7.48513505e-01  8.27935744e-02  5.95584545e-01]
 [ 2.01621003e-01  6.65477471e-01  1.32901526e-01  5.01174109e-01]
 [ 2.27963469e-01  5.99048643e-01  1.72987888e-01  4.40751430e-01]
 [ 2.49037442e-01  5.45905581e-01  2.05056977e-01  4.02080915e-01]
 [ 2.65896620e-01  5.03391132e-01  2.30712248e-01  3.77331786e-01]
 [ 2.79383963e-01  4.69379572e-01  2.51236465e-01  3.61492343e-01]
 [ 2.90173837e-01  4.42170324e-01  2.67655839e-01  3.51355099e-01]
 [ 2.98805736e-01  4.20402926e-01  2.80791338e-01  3.44867264e-01]
 [ 3.05711256e-01  4.02989008e-01  2.91299737e-01  3.40715049e-01]
 [ 3.11235671e-01  3.89057873e-01  2.99706456e-01  3.38057631e-01]
 [ 3.15655204e-01  3.77912965e-01  3.06431832e-01  3.36356884e-01]
 [ 3.19190830e-01  3.68997039e-01  3.11812132e-01  3.35268406e-01]
 [ 3.22019330e-01  3.61864298e-01  3.16116372e-01  3.34571780e-01]
 [ 3.24282131e-01  3.56158105e-01  3.19559764e-01  3.34125939e-01]
 [ 3.26092371e-01  3.51593150e-01  3.22314478e-01  3.33840601e-01]
 [ 3.27540564e-01  3.47941187e-01  3.24518249e-01  3.33657985e-01]
 [ 3.28699118e-01  3.45019616e-01  3.26281266e-01  3.33541110e-01]
 [ 3.29625961e-01  3.42682360e-01  3.27691680e-01  3.33466310e-01]
 [ 3.30367435e-01  3.40812554e-01  3.28820010e-01  3.33418439e-01]
 [ 3.30960615e-01  3.39316710e-01  3.29722675e-01  3.33387801e-01]
 [ 3.31435159e-01  3.38120035e-01  3.30444807e-01  3.33368192e-01]
 [ 3.31814794e-01  3.37162695e-01  3.31022512e-01  3.33355643e-01]
 [ 3.32118502e-01  3.36396822e-01  3.31484676e-01  3.33347612e-01]
 [ 3.32361468e-01  3.35784124e-01  3.31854408e-01  3.33342471e-01]
 [ 3.32555841e-01  3.35293966e-01  3.32150193e-01  3.33339182e-01]
 [ 3.32711339e-01  3.34901840e-01  3.32386821e-01  3.33337076e-01]
 [ 3.32835738e-01  3.34588138e-01  3.32576123e-01  3.33335729e-01]
 [ 3.32935257e-01  3.34337177e-01  3.32727565e-01  3.33334866e-01]
 [ 3.33014872e-01  3.34136409e-01  3.32848719e-01  3.33334315e-01]
 [ 3.33078565e-01  3.33975794e-01  3.32945642e-01  3.33333961e-01]
 [ 3.33129518e-01  3.33847301e-01  3.33023180e-01  3.33333735e-01]
 [ 3.33170281e-01  3.33744508e-01  3.33085211e-01  3.33333591e-01]
 [ 3.33202892e-01  3.33662273e-01  3.33134835e-01  3.33333498e-01]
 [ 3.33228980e-01  3.33596485e-01  3.33174535e-01  3.33333439e-01]
 [ 3.33249851e-01  3.33543855e-01  3.33206295e-01  3.33333401e-01]
 [ 3.33266547e-01  3.33501750e-01  3.33231702e-01  3.33333376e-01]
 [ 3.33279904e-01  3.33468067e-01  3.33252029e-01  3.33333361e-01]
 [ 3.33290590e-01  3.33441120e-01  3.33268289e-01  3.33333351e-01]
 [ 3.33299139e-01  3.33419563e-01  3.33281298e-01  3.33333345e-01]
 [ 3.33305978e-01  3.33402317e-01  3.33291705e-01  3.33333341e-01]
 [ 3.33311449e-01  3.33388520e-01  3.33300031e-01  3.33333338e-01]
 [ 3.33315826e-01  3.33377483e-01  3.33306691e-01  3.33333336e-01]
 [ 3.33319327e-01  3.33368653e-01  3.33312020e-01  3.33333335e-01]]
